Timestamp,Umur,Jenis Kelamin,Pekerjaan,Asal Daerah Tinggal,Saya merasa penting untuk melindungi informasi pribadi saya di internet.,Saya percaya bahwa risiko keamanan data pribadi saya lebih tinggi ketika menggunakan Wi-Fi publik.,Saya berpikir bahwa membagikan kata sandi dengan teman dapat berisiko terhadap keamanan akun saya.,Saya merasa perlu untuk memeriksa pengaturan privasi di media sosial secara berkala.,Saya paham bahwa berbagi informasi pribadi di internet bisa menimbulkan bahaya bagi privasi saya.,Saya merasa bahwa perangkat yang saya gunakan untuk aktivitas online harus dilindungi dengan kata sandi atau kode akses yang kuat.,Saya percaya bahwa ada risiko saat saya mengakses data pribadi di perangkat milik orang lain.,Saya percaya bahwa aplikasi yang tidak terjamin keamanannya bisa mengakses data pribadi saya tanpa izin.,Saya tahu bahwa phising adalah salah satu bentuk serangan siber yang dapat merusak privasi saya.,Saya tahu bahwa data pribadi yang saya unggah ke internet bisa disalahgunakan oleh orang yang tidak bertanggung jawab.,Saya paham bahwa menggunakan kata sandi yang kuat dapat melindungi akun saya dari pembobolan.,Saya tahu bahwa penting untuk memeriksa URL website sebelum memasukkan informasi pribadi.,Saya tahu bahwa perangkat yang tidak dilengkapi antivirus rentan terhadap serangan siber.,Saya tahu bahwa Wi-Fi publik bisa menjadi tempat yang tidak aman untuk mengakses informasi pribadi.,Saya tahu bahwa setiap aplikasi yang saya unduh dapat meminta izin untuk mengakses data pribadi saya.,Saya sadar bahwa aplikasi atau situs web yang tidak terjamin keamanannya bisa menyebarkan malware.,Saya menggunakan kata sandi yang berbeda untuk setiap akun online saya.,"Saya selalu menggunakan kombinasi huruf, angka, dan simbol untuk membuat kata sandi yang kuat.",Saya memastikan perangkat saya selalu terkunci ketika tidak digunakan.,Saya tidak membuka tautan dari email yang saya terima jika pengirimnya tidak dikenal.,Saya menghindari membagikan data pribadi atau informasi sensitif di platform media sosial.,Saya selalu menggunakan jaringan yang aman (seperti data seluler atau Wi-Fi pribadi) ketika mengakses informasi sensitif.,Saya tidak menyimpan kata sandi di browser atau aplikasi untuk menghindari risiko pembobolan akun.,Saya menghindari berbagi perangkat pribadi saya dengan orang lain yang bisa mengakses data pribadi saya tanpa izin.
11/18/2024 11:48:49,17 - 25,Perempuan,Mahasiswa,Jawa Timur,2,3,4,2,4,4,3,4,4,3,3,4,3,3,3,2,3,3,2,3,2,2,1,2
11/18/2024 19:26:08,17 - 25,Laki-Laki,Mahasiswa,Jawa Timur,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11/19/2024 21:47:51,17 - 25,Perempuan,Mahasiswa,Jawa Timur,3,2,3,2,3,3,3,4,3,4,4,3,3,2,2,3,2,2,3,3,3,2,3,2
11/19/2024 21:52:08,17 - 25,Perempuan,Mahasiswa,Jawa Timur,4,2,3,4,4,4,4,3,2,4,4,4,3,3,4,3,2,4,4,4,4,3,4,3
11/19/2024 23:21:52,17 - 25,Perempuan,Mahasiswa,Jawa Timur,4,1,2,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4
11/19/2024 23:24:21,17 - 25,Perempuan,Mahasiswa,Jawa Barat,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,1,4
11/20/2024 7:39:31,17 - 25,Perempuan,Mahasiswa,Jawa Timur,1,2,4,3,4,4,4,4,1,4,4,3,4,3,4,1,3,4,4,4,4,3,4,4
11/20/2024 8:54:11,17 - 25,Laki-Laki,Mahasiswa,Jawa Timur,4,3,2,2,2,2,3,3,2,3,2,2,3,2,3,3,1,2,4,2,4,3,2,2
11/20/2024 9:03:28,17 - 25,Laki-Laki,Mahasiswa,Jawa Timur,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
11/20/2024 9:19:18,17 - 25,Perempuan,Mahasiswa,Jawa Timur,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,3,2,3,3,4,4,4,2,4
11/20/2024 10:18:53,17 - 25,Perempuan,Mahasiswa,Jawa Timur,4,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4
11/20/2024 10:31:40,17 - 25,Perempuan,Mahasiswa,Jawa Timur,4,4,4,4,4,4,2,4,2,4,4,3,2,3,1,3,1,4,2,3,3,4,1,4
